,F4x,lambda,gamma,epsilon,C,C0,T4x
ACCESS-CM2,7.733056854805012,-0.6994882798646815,0.5429052944168767,1.4967678840317522,8.705751044827323,93.23003992466708,11.055305824853837
ACCESS-ESM1-5,6.745165698079507,-0.7126599610240836,0.6194270717767029,1.604318746287614,8.381012066669497,95.36197555787835,9.464774320120261
AWI-CM-1-1-MR,8.168461329322106,-1.2093349770646578,0.47505200285541604,1.448387693987997,8.200244183835153,56.49395628396804,6.7545068026938955
BCC-CSM2-MR,7.2170105847155135,-1.1439307522997344,0.8723550893853421,1.3037078405425508,5.936500317224712,64.57353599000112,6.30895757475143
BCC-ESM1,6.4882407320336775,-0.8921943750288512,0.5299325142639777,1.36848857714097,8.695825523822018,97.66258452984253,7.272227794317214
CAMS-CSM1-0,9.076223122848464,-1.9175558727408721,0.47865874303080286,1.283455641760749,9.752138356983648,56.972380418485336,4.733224857680661
CESM2,8.4783623024525,-0.6588861436044366,0.6683088389980077,1.7714651640906776,8.412395239198508,75.9098225349569,12.867719840156466
CESM2-FV2,7.707721014470841,-0.5815142889034944,0.7107195329691086,1.768260699769118,7.417002998821922,92.72710251834559,13.254568566039916
CESM2-WACCM,7.856972300844,-0.7058138383370778,0.7001550303301475,1.525304060263816,8.293803940665377,89.66997071277409,11.13179123742063
CESM2-WACCM-FV2,7.011729004608327,-0.6016808519364495,0.7049349510802102,1.5011937143372782,8.170170809228082,112.09726978029329,11.653568469131228
CNRM-CM6-1,7.305305051384967,-0.7512218451577419,0.508941042007948,0.9899316890599191,7.586284279968561,145.22514470930307,9.724564186301691
CNRM-CM6-1-HR,7.523271850777991,-0.9405697941000795,0.5480701357931236,0.7495001306060569,8.409643635662576,96.37019686903047,7.998632209925071
CNRM-ESM2-1,5.79740017780529,-0.6337400046026365,0.6044358594580296,0.9031085343769031,7.4684085642284845,97.0197909801108,9.147915763080254
CanESM5,7.467505629274833,-0.6461368533527884,0.5251952983117915,1.0647785063254946,8.232829676559428,80.72320438077921,11.557157884627525
E3SM-1-0,7.396111590692042,-0.629308222153523,0.36343402276094045,1.455884915320799,8.393028870785855,43.9035825378213,11.75276490967177
FGOALS-f3-L,9.840465121129185,-1.5014789590624646,0.5912672112886826,1.6239606910460092,8.988944332183726,79.34939994253288,6.5538481653155625
FGOALS-g3,7.972358832030283,-1.2837794914052925,0.642433856176221,1.3730405945943303,8.132895614022823,98.48689641899465,6.210068695912348
GFDL-CM4,7.658725737387499,-0.822550370089286,0.5824588556839432,1.6437806451473072,7.533980888689017,94.13658550582579,9.310950448602746
GFDL-ESM4,7.450284032132643,-1.4601916330738651,0.5468509797992929,0.85865181742755,8.374525585970233,148.06524660966357,5.102264568147437
GISS-E2-1-G,8.292051900777901,-1.4998866713607533,0.8384504988670859,1.105270620707288,7.536209375177306,140.88530335935357,5.5284522885021214
GISS-E2-1-H,7.300776792291273,-1.140782299391422,0.6219105436433361,1.121011424353134,8.63625245636574,84.25296739579352,6.3997984507516055
GISS-E2-2-G,7.19266907038097,-1.6424474110351466,0.5301290044190868,0.6517049423215746,8.893609582789411,411.8476390215087,4.379238581393726
HadGEM3-GC31-LL,7.370973410797357,-0.6243954167085388,0.5162064963094688,1.1869479541956667,7.962855233077764,76.42304288432346,11.804976804044749
HadGEM3-GC31-MM,7.103401564862109,-0.6528308539055594,0.5939743648820921,0.9979139743775425,8.242753153132725,71.4228512958561,10.880921945349268
IITM-ESM,9.436748564103414,-1.9428468977915183,0.6991924862157932,1.1483512834659142,9.335789172246878,174.1064072971145,4.857175609066071
INM-CM5-0,6.377652802691486,-1.6135583156369633,0.4803782364175059,1.302261810309948,8.638405942736668,47.65112684915308,3.95253939128528
IPSL-CM6A-LR,7.81210956315692,-0.6910367205687997,0.39178974387210913,1.5756369839666577,7.995290872122158,94.989297555247,11.304912359347098
MIROC-ES2L,8.16784917209042,-1.5578865297904358,0.6820571304602421,0.9487913001272714,10.588283992149268,177.43373834349367,5.242903777587157
MIROC6,7.884621878926497,-1.423914128791142,0.6198239665199777,1.262313201187132,9.166116771953874,205.67930808205358,5.537287480679811
MPI-ESM1-2-HR,8.183147084280971,-1.2712673120306737,0.637576885211629,1.3960038584142849,8.413201455919774,92.63374598625425,6.436999525466645
MRI-ESM2-0,8.295756724669461,-1.2000573477920748,0.8559094919985023,1.4766255506175745,8.478459387758491,98.19686123837583,6.912800242356709
NorESM2-LM,9.53207150702561,-0.9264454330169747,0.8196960371501171,3.074718557859405,5.604629223040193,145.05241506795974,10.288864374527614
NorESM2-MM,8.902344737930921,-1.5433414159462666,0.7685121251239503,1.6912701427300407,6.153316481410074,121.29490668694183,5.768227720699688
SAM0-UNICON,8.046759001106924,-1.0336178803666725,0.8073632192113122,1.1362081671503037,6.576330608681177,100.4856361676492,7.785042377800553
UKESM1-0-LL,7.476424076122564,-0.6632836902278628,0.531698336069874,1.1347611692672963,7.740971906710853,76.55368258282894,11.271834640700419
